freq (GHz),S11_real,S11_imag,S21_real,S21_imag,S12_real,S12_imag,S22_real,S22_imag
100000000.0,0.000942978359258,-0.000331086113238,0.999053008682,-0.00135149231945,0.999053008682,-0.00135149231945,0.000942978359258,-0.000331086113238
200000000.0,0.000947167961659,-0.000662182357718,0.999042974129,-0.00270297048524,0.999042974129,-0.00270297048524,0.000947167961659,-0.000662182357718
300000000.0,0.000948804447134,-0.000993282380643,0.99903266067,-0.00405443879117,0.99903266067,-0.00405443879117,0.000948804447134,-0.000993282380643
400000000.0,0.000948705821074,-0.00132438289723,0.99902125027,-0.00540589764742,0.99902125027,-0.00540589764742,0.000948705821074,-0.00132438289723
500000000.0,0.000947186736745,-0.00165548125639,0.999008428246,-0.00675734642359,0.999008428246,-0.00675734642359,0.000947186736745,-0.00165548125639
600000000.0,0.000944407473517,-0.00198657505669,0.998994034288,-0.00810878397561,0.998994034288,-0.00810878397561,0.000944407473517,-0.00198657505669
700000000.0,0.000940462597334,-0.00231766201631,0.998977973808,-0.00946020884852,0.998977973808,-0.00946020884852,0.000940462597334,-0.00231766201631
800000000.0,0.000935413300605,-0.00264873991644,0.998960185589,-0.0108116193768,0.998960185589,-0.0108116193768,0.000935413300605,-0.00264873991644
900000000.0,0.000929301793472,-0.00297980657297,0.998940627405,-0.0121630137415,0.998940627405,-0.0121630137415,0.000929301793472,-0.00297980657297
1000000000.0,0.00092215859438,-0.00331085982019,0.998919268724,-0.0135143900057,0.998919268724,-0.0135143900057,0.00092215859438,-0.00331085982019
1100000000.0,0.00091400658063,-0.00364189750211,0.998896086662,-0.0148657461389,0.998896086662,-0.0148657461389,0.00091400658063,-0.00364189750211
1200000000.0,0.00090486340058,-0.00397291746649,0.99887106357,-0.0162170800334,0.99887106357,-0.0162170800334,0.00090486340058,-0.00397291746649
1300000000.0,0.000894742990529,-0.0043039175613,0.998844185515,-0.0175683895172,0.998844185515,-0.0175683895172,0.000894742990529,-0.0043039175613
1400000000.0,0.000883656571147,-0.00463489563244,0.99881544129,-0.018919672363,0.99881544129,-0.018919672363,0.000883656571147,-0.00463489563244
1500000000.0,0.000871613326122,-0.00496584952214,0.998784821727,-0.0202709262958,0.998784821727,-0.0202709262958,0.000871613326122,-0.00496584952214
1600000000.0,0.000858620878527,-0.00529677706799,0.99875231923,-0.0216221489985,0.99875231923,-0.0216221489985,0.000858620878527,-0.00529677706799
1700000000.0,0.000844685633921,-0.0056276761023,0.998717927425,-0.0229733381167,0.998717927425,-0.0229733381167,0.000844685633921,-0.0056276761023
1800000000.0,0.000829813033022,-0.00595854445165,0.998681640913,-0.0243244912625,0.998681640913,-0.0243244912625,0.000829813033022,-0.00595854445165
1900000000.0,0.000814007741392,-0.0062893799367,0.998643455076,-0.0256756060179,0.998643455076,-0.0256756060179,0.000814007741392,-0.0062893799367
2000000000.0,0.000797273794301,-0.00662018037195,0.998603365934,-0.0270266799371,0.998603365934,-0.0270266799371,0.000797273794301,-0.00662018037195
2100000000.0,0.000779614709024,-0.00695094356577,0.998561370037,-0.0283777105496,0.998561370037,-0.0283777105496,0.000779614709024,-0.00695094356577
2200000000.0,0.000761033573068,-0.00728166732043,0.998517464368,-0.0297286953612,0.998517464368,-0.0297286953612,0.000761033573068,-0.00728166732043
2300000000.0,0.000741533114351,-0.00761234943205,0.998471646282,-0.0310796318568,0.998471646282,-0.0310796318568,0.000741533114351,-0.00761234943205
2400000000.0,0.000721115757608,-0.00794298769075,0.998423913444,-0.0324305175011,0.998423913444,-0.0324305175011,0.000721115757608,-0.00794298769075
2500000000.0,0.000699783670192,-0.00827357988069,0.998374263786,-0.0337813497401,0.998374263786,-0.0337813497401,0.000699783670193,-0.00827357988069
