freq (GHz),S11_real,S11_imag,S21_real,S21_imag,S12_real,S12_imag,S22_real,S22_imag
100000000.0,-0.00376791261869,-0.0609709691646,0.99616950802,-0.0610691471779,0.99616950802,-0.0610691471779,-0.00376791261869,-0.0609709691646
200000000.0,-0.0148730112528,-0.120572963025,0.985063966924,-0.120769325815,0.985063966924,-0.120769325815,-0.0148730112528,-0.120572963025
300000000.0,-0.0328012773355,-0.177552229531,0.967135356095,-0.177846787698,0.967135356095,-0.177846787698,-0.0328012773355,-0.177552229531
400000000.0,-0.0568070348075,-0.230838234075,0.94312929782,-0.231231001296,0.94312929782,-0.231231001296,-0.0568070348075,-0.230838234075
500000000.0,-0.0859563096279,-0.27960116786,0.913979745542,-0.280092160508,0.913979745542,-0.280092160508,-0.0859563096279,-0.27960116786
600000000.0,-0.119210456802,-0.323278752368,0.880725333803,-0.323867989257,0.880725333803,-0.323867989257,-0.119210456802,-0.323278752368
700000000.0,-0.155506951625,-0.361573535913,0.844428581167,-0.362261038117,0.844428581167,-0.362261038117,-0.155506951625,-0.361573535913
800000000.0,-0.193827626587,-0.394426666883,0.80610765118,-0.395212457584,0.80610765118,-0.395212457584,-0.193827626587,-0.394426666883
900000000.0,-0.233248904444,-0.421976537054,0.766686118364,-0.422860641424,0.766686118364,-0.422860641424,-0.233248904444,-0.421976537054
1000000000.0,-0.272972757555,-0.444510794702,0.726962008395,-0.445493239799,0.726962008395,-0.445493239799,-0.272972757555,-0.444510794702
1100000000.0,-0.31234027384,-0.462418722951,0.687594231887,-0.463499537628,0.687594231887,-0.463499537628,-0.31234027384,-0.462418722951
1200000000.0,-0.350831492615,-0.476148744345,0.649102748395,-0.477327959172,0.649102748395,-0.477327959172,-0.350831492615,-0.476148744345
1300000000.0,-0.388055724241,-0.486173577951,0.611878246665,-0.487451225139,0.611878246665,-0.487451225139,-0.388055724241,-0.486173577951
1400000000.0,-0.423736259139,-0.492963774955,0.576197435563,-0.494339888296,0.576197435563,-0.494339888296,-0.423736259139,-0.492963774955
1500000000.0,-0.457692610533,-0.496969145036,0.542240801279,-0.498443759841,0.542240801279,-0.498443759841,-0.457692610533,-0.496969145036
1600000000.0,-0.489822543156,-0.498606920432,0.510110578596,-0.500180073475,0.510110578596,-0.500180073475,-0.489822543156,-0.498606920432
1700000000.0,-0.520085317935,-0.498255258151,0.479847506176,-0.499926987616,0.479847506176,-0.499926987616,-0.520085317935,-0.498255258151
1800000000.0,-0.548486924853,-0.496250706238,0.451445593694,-0.498021051676,0.451445593694,-0.498021051676,-0.548486924853,-0.496250706238
1900000000.0,-0.575067603519,-0.492888432367,0.42486460124,-0.494757434646,0.42486460124,-0.494757434646,-0.575067603519,-0.492888432367
2000000000.0,-0.599891643946,-0.488424242834,0.400040238543,-0.490391944098,0.400040238543,-0.490391944098,-0.599891643946,-0.488424242834
2100000000.0,-0.62303928262,-0.483077652212,0.376892268894,-0.485144095844,0.376892268894,-0.485144095844,-0.62303928262,-0.483077652212
2200000000.0,-0.644600423763,-0.47703546949,0.355330787872,-0.479200700068,0.355330787872,-0.479200700068,-0.644600423763,-0.47703546949
2300000000.0,-0.664669890556,-0.470455534326,0.335260972121,-0.472719597593,0.335260972121,-0.472719597593,-0.664669890556,-0.470455534326
2400000000.0,-0.683343921655,-0.463470366251,0.316586582826,-0.465833309074,0.316586582826,-0.465833309074,-0.683343921655,-0.463470366251
2500000000.0,-0.700717657464,-0.456190584464,0.299212479443,-0.45865245481,0.299212479443,-0.45865245481,-0.700717657464,-0.456190584464
2600000000.0,-0.716883397309,-0.44870802268,0.28304636252,-0.451268869577,0.28304636252,-0.451268869577,-0.716883397309,-0.44870802268
2700000000.0,-0.731929446235,-0.441098508498,0.267999926894,-0.443758382009,0.267999926894,-0.443758382009,-0.731929446235,-0.441098508498
2800000000.0,-0.745939405016,-0.433424305823,0.253989571688,-0.436183257017,0.253989571688,-0.436183257017,-0.745939405016,-0.433424305823
2900000000.0,-0.758991787412,-0.425736236394,0.240936783044,-0.428594317319,0.240936783044,-0.428594317319,-0.758991787412,-0.425736236394
