freq (GHz),S11_real,S11_imag,S21_real,S21_imag,S12_real,S12_imag,S22_real,S22_imag
100000000.0,-0.00861527951402,-0.092079541944,0.991299133052,-0.0922100277024,0.991299133052,-0.0922100277024,-0.00861527951402,-0.092079541944
200000000.0,-0.033534519148,-0.179508505416,0.966379282008,-0.179769487403,0.966379282008,-0.179769487403,-0.033534519148,-0.179508505416
300000000.0,-0.0723356514374,-0.25841791809,0.92757766774,-0.258809413063,0.92757766774,-0.258809413063,-0.0723356514374,-0.25841791809
400000000.0,-0.121665387573,-0.326187027708,0.878247505509,-0.326709057601,0.878247505509,-0.326709057601,-0.121665387573,-0.326187027708
500000000.0,-0.177847167077,-0.381592677908,0.822065327615,-0.382245269279,0.822065327615,-0.382245269279,-0.177847167077,-0.381592677908
600000000.0,-0.23744010126,-0.424647113613,0.762472008446,-0.425430297281,0.762472008446,-0.425430297281,-0.23744010126,-0.424647113613
700000000.0,-0.297591820935,-0.456258404588,0.702319908775,-0.457172215359,0.702319908775,-0.457172215359,-0.297591820935,-0.456258404588
800000000.0,-0.356175229303,-0.477855033014,0.643736119976,-0.478899509473,0.643736119976,-0.478899509473,-0.356175229303,-0.477855033014
900000000.0,-0.411764678096,-0.491068743577,0.58814628658,-0.492243927909,0.58814628658,-0.492243927909,-0.411764678096,-0.491068743577
1000000000.0,-0.463523990851,-0.497512733934,0.536386582353,-0.498818671772,0.536386582353,-0.498818671772,-0.463523990851,-0.497512733934
1100000000.0,-0.511065298644,-0.498652182375,0.488844874202,-0.500088922677,0.488844874202,-0.500088922677,-0.511065298644,-0.498652182375
1200000000.0,-0.554314867169,-0.495745704317,0.445594894874,-0.497313299244,0.445594894874,-0.497313299244,-0.554314867169,-0.495745704317
1300000000.0,-0.593402418136,-0.489833225077,0.406506921428,-0.491531729892,0.406506921428,-0.491531729892,-0.593402418136,-0.489833225077
1400000000.0,-0.62857776033,-0.481750010772,0.371331144085,-0.483579483746,0.371331144085,-0.483579483746,-0.62857776033,-0.481750010772
1500000000.0,-0.660152091227,-0.472152769433,0.339756364556,-0.474113271758,0.339756364556,-0.474113271758,-0.660152091227,-0.472152769433
