freq (GHz),S11_real,S11_imag,S21_real,S21_imag,S12_real,S12_imag,S22_real,S22_imag
100000000.0,-0.000461699159952,-0.023205674324,0.999290804795,-0.0241731134729,0.999290804795,-0.0241731134729,-0.000461699159951,-0.023205674324
200000000.0,-0.00216439704455,-0.04633095857,0.997585018237,-0.0482659731861,0.997585018237,-0.0482659731861,-0.00216439704455,-0.04633095857
300000000.0,-0.00497500357818,-0.0692980624476,0.994770809711,-0.072200871448,0.994770809711,-0.072200871448,-0.00497500357818,-0.0692980624476
400000000.0,-0.00887514589011,-0.0920307856512,0.990866338349,-0.0959016754645,0.990866338349,-0.0959016754645,-0.00887514589011,-0.0920307856512
500000000.0,-0.0138396593611,-0.114455380244,0.985896685987,-0.119294697329,0.985896685987,-0.119294697329,-0.0138396593611,-0.114455380244
600000000.0,-0.0198369329277,-0.13650132123,0.979893420861,-0.142309467155,0.979893420861,-0.142309467155,-0.0198369329277,-0.13650132123
700000000.0,-0.0268293851655,-0.15810199664,0.97289409844,-0.164879424462,0.97289409844,-0.164879424462,-0.0268293851655,-0.15810199664
800000000.0,-0.0347740293581,-0.17919530977,0.964941687959,-0.186942521185,0.964941687959,-0.186942521185,-0.0347740293581,-0.17919530977
900000000.0,-0.0436231061779,-0.199724185567,0.956083936001,-0.20844172858,0.956083936001,-0.20844172858,-0.0436231061779,-0.199724185567
1000000000.0,-0.0533247653108,-0.219636975323,0.946372682996,-0.229325442274,0.946372682996,-0.229325442274,-0.0533247653108,-0.219636975323
1100000000.0,-0.063823777967,-0.2388877567,0.935863149662,-0.249547782569,0.935863149662,-0.249547782569,-0.063823777967,-0.2388877567
1200000000.0,-0.0750622628253,-0.257436529155,0.924613210442,-0.269068790072,0.924613210442,-0.269068790072,-0.0750622628253,-0.257436529155
1300000000.0,-0.0869804089666,-0.275249307667,0.912682670183,-0.287854519588,0.912682670183,-0.287854519588,-0.0869804089666,-0.275249307667
1400000000.0,-0.0995171807945,-0.292298120246,0.900132558965,-0.305877037773,0.900132558965,-0.305877037773,-0.0995171807945,-0.292298120246
1500000000.0,-0.11261099175,-0.308560916873,0.88702445821,-0.323114332177,0.88702445821,-0.323114332177,-0.11261099175,-0.308560916873
1600000000.0,-0.12620033571,-0.324021399166,0.873419869172,-0.339550141021,0.873419869172,-0.339550141021,-0.12620033571,-0.324021399166
1700000000.0,-0.14022436718,-0.338668781297,0.859379632649,-0.355173714187,0.859379632649,-0.355173714187,-0.14022436718,-0.338668781297
1800000000.0,-0.154623423682,-0.35249749336,0.844963406541,-0.369979516664,0.844963406541,-0.369979516664,-0.154623423682,-0.35249749336
1900000000.0,-0.169339485951,-0.365506838661,0.830229205605,-0.383966885902,0.830229205605,-0.383966885902,-0.169339485951,-0.365506838661
2000000000.0,-0.18431657363,-0.377700616236,0.815233005722,-0.397139654387,0.815233005722,-0.397139654387,-0.18431657363,-0.377700616236
2100000000.0,-0.199501076063,-0.389086719405,0.800028413083,-0.409505748251,0.800028413083,-0.409505748251,-0.199501076063,-0.389086719405
2200000000.0,-0.214842019384,-0.399676720431,0.784666397073,-0.421076771974,0.784666397073,-0.421076771974,-0.214842019384,-0.399676720431
2300000000.0,-0.230291272522,-0.409485450344,0.769195084254,-0.43186758825,0.769195084254,-0.43186758825,-0.230291272522,-0.409485450344
2400000000.0,-0.245803695781,-0.418530581927,0.753659609771,-0.441895901017,0.753659609771,-0.441895901017,-0.245803695781,-0.418530581927
2500000000.0,-0.261337236499,-0.426832222668,0.738102021681,-0.451181848445,0.738102021681,-0.451181848445,-0.261337236499,-0.426832222668
2600000000.0,-0.276852976854,-0.434412523322,0.72256123314,-0.459747611526,0.72256123314,-0.459747611526,-0.276852976854,-0.434412523322
2700000000.0,-0.292315139189,-0.441295306527,0.707073017074,-0.467617042731,0.707073017074,-0.467617042731,-0.292315139189,-0.441295306527
