freq (GHz),S11_real,S11_imag,S21_real,S21_imag,S12_real,S12_imag,S22_real,S22_imag
100000000.0,0.00015231267811,-0.000967072644125,0.999839492949,-0.00198143937716,0.999839492949,-0.00198143937716,0.00015231267811,-0.000967072644125
200000000.0,0.000146193058146,-0.00193422701048,0.999829722308,-0.00396300610477,0.999829722308,-0.00396300610477,0.000146193058146,-0.00193422701048
300000000.0,0.000135966232459,-0.00290149750116,0.999815359742,-0.00594476197608,0.999815359742,-0.00594476197608,0.000135966232458,-0.00290149750116
400000000.0,0.000121765212793,-0.00386890567762,0.999796268059,-0.00792674909932,0.999796268059,-0.00792674909932,0.000121765212793,-0.00386890567762
500000000.0,0.00010363958381,-0.00483646617767,0.999772392781,-0.00990899956258,0.999772392781,-0.00990899956258,0.00010363958381,-0.00483646617767
600000000.0,8.16132112282e-05,-0.00580418891062,0.999743704586,-0.0118915387869,0.999743704586,-0.0118915387869,8.16132112282e-05,-0.00580418891062
700000000.0,5.56989262179e-05,-0.0067720802075,0.999710184726,-0.0138743872435,0.999710184726,-0.0138743872435,5.56989262179e-05,-0.0067720802075
800000000.0,2.59038993642e-05,-0.00774014352625,0.999671819734,-0.0158575614902,0.999671819734,-0.0158575614902,2.59038993642e-05,-0.00774014352625
900000000.0,-7.76795465107e-06,-0.00870837992774,0.99962859909,-0.0178410748616,0.99962859909,-0.0178410748616,-7.76795465129e-06,-0.00870837992774
1000000000.0,-4.53147486884e-05,-0.00967678841767,0.999580514043,-0.0198249379601,0.999580514043,-0.0198249379601,-4.53147486886e-05,-0.00967678841767
1100000000.0,-8.67359327078e-05,-0.010645366205,0.999527556975,-0.0218091590223,0.999527556975,-0.0218091590223,-8.67359327081e-05,-0.010645366205
1200000000.0,-0.000132031876176,-0.0116141089039,0.999469721026,-0.0237937442032,0.999469721026,-0.0237937442032,-0.000132031876177,-0.0116141089039
1300000000.0,-0.000181203600253,-0.0125830106962,0.99940699986,-0.0257786978024,0.99940699986,-0.0257786978024,-0.000181203600253,-0.0125830106962
1400000000.0,-0.000234252597507,-0.013552064466,0.999339387526,-0.0277640224495,0.999339387526,-0.0277640224495,-0.000234252597507,-0.013552064466
1500000000.0,-0.000291180705494,-0.0145212619117,0.999266878354,-0.0297497192581,0.999266878354,-0.0297497192581,-0.000291180705494,-0.0145212619117
1600000000.0,-0.000351990014927,-0.0154905936425,0.999189466899,-0.0317357879557,0.999189466899,-0.0317357879557,-0.000351990014927,-0.0154905936425
1700000000.0,-0.000416682800884,-0.0164600492615,0.999107147896,-0.0337222269965,0.999107147896,-0.0337222269965,-0.000416682800884,-0.0164600492615
1800000000.0,-0.000485261469876,-0.0174296174387,0.999019916227,-0.0357090336579,0.999019916227,-0.0357090336579,-0.000485261469877,-0.0174296174387
